record_id,datetime,year,month,day,hour,pm10,so2,no2,co,o3,temperature,pressure,dew_point,rain,wind_direction,wind_speed,pm25
1,2013-03-01 00:00:00,2013,3,1,0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,4.0
2,2013-03-01 01:00:00,2013,3,1,1,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,N,4.7,8.0
3,2013-03-01 02:00:00,2013,3,1,2,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,7.0
4,2013-03-01 03:00:00,2013,3,1,3,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,NW,3.1,6.0
5,2013-03-01 04:00:00,2013,3,1,4,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,N,2.0,3.0
6,2013-03-01 05:00:00,2013,3,1,5,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,N,3.7,5.0
7,2013-03-01 06:00:00,2013,3,1,6,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,3.0
8,2013-03-01 07:00:00,2013,3,1,7,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,3.0
9,2013-03-01 08:00:00,2013,3,1,8,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,NNW,4.1,3.0
10,2013-03-01 09:00:00,2013,3,1,9,8.0,12.0,28.0,400.0,59.0,1.2,1028.5,-19.3,0.0,N,2.6,3.0
11,2013-03-01 10:00:00,2013,3,1,10,6.0,9.0,12.0,400.0,72.0,1.9,1028.2,-19.4,0.0,NNW,3.6,3.0
12,2013-03-01 11:00:00,2013,3,1,11,6.0,9.0,14.0,400.0,71.0,2.9,1028.2,-20.5,0.0,N,3.7,3.0
13,2013-03-01 12:00:00,2013,3,1,12,6.0,7.0,13.0,300.0,74.0,3.9,1027.3,-19.7,0.0,NNW,5.1,3.0
14,2013-03-01 13:00:00,2013,3,1,13,6.0,7.0,12.0,400.0,76.0,5.3,1026.2,-19.3,0.0,NW,4.3,3.0
15,2013-03-01 14:00:00,2013,3,1,14,9.0,7.0,11.0,400.0,77.0,6.0,1025.9,-19.6,0.0,NW,4.4,6.0
16,2013-03-01 15:00:00,2013,3,1,15,15.0,7.0,14.0,400.0,76.0,6.2,1025.7,-18.6,0.0,NNE,2.8,8.0
17,2013-03-01 16:00:00,2013,3,1,16,19.0,9.0,13.0,400.0,76.0,5.9,1025.6,-18.1,0.0,NNW,3.9,9.0
18,2013-03-01 17:00:00,2013,3,1,17,23.0,11.0,15.0,400.0,74.0,4.3,1026.3,-18.7,0.0,NNE,2.8,10.0
19,2013-03-01 18:00:00,2013,3,1,18,20.0,8.0,20.0,500.0,70.0,3.1,1027.4,-18.4,0.0,NNE,2.1,11.0
20,2013-03-01 19:00:00,2013,3,1,19,14.0,12.0,30.0,500.0,60.0,2.3,1028.3,-18.4,0.0,N,2.8,8.0
21,2013-03-01 20:00:00,2013,3,1,20,17.0,13.0,33.0,600.0,55.0,1.7,1029.1,-17.3,0.0,N,2.1,11.0
22,2013-03-01 21:00:00,2013,3,1,21,18.0,16.0,35.0,500.0,50.0,0.6,1030.1,-16.7,0.0,ENE,0.8,12.0
23,2013-03-01 22:00:00,2013,3,1,22,19.0,21.0,57.0,700.0,32.0,0.9,1030.5,-17.4,0.0,ENE,1.8,15.0
24,2013-03-01 23:00:00,2013,3,1,23,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,24.0
25,2013-03-02 00:00:00,2013,3,2,0,24.0,24.0,44.0,500.0,44.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,22.0
26,2013-03-02 01:00:00,2013,3,2,1,17.0,21.0,36.0,400.0,50.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,14.0
27,2013-03-02 02:00:00,2013,3,2,2,13.0,20.0,37.0,400.0,47.0,-1.5,1030.9,-16.9,0.0,E,1.7,13.0
28,2013-03-02 03:00:00,2013,3,2,3,9.0,13.0,34.0,400.0,52.0,-1.4,1030.6,-17.6,0.0,NNE,1.4,3.0
29,2013-03-02 04:00:00,2013,3,2,4,7.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,NNW,0.9,3.0
30,2013-03-02 05:00:00,2013,3,2,5,11.0,19.0,70.0,500.0,20.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,9.0
31,2013-03-02 06:00:00,2013,3,2,6,10.0,28.0,46.0,500.0,39.0,-2.5,1029.6,-17.7,0.0,NW,0.7,4.0
