iter	Passed	Remaining
0	24	12147
1	46	11565
2	70	11649
3	90	11162
4	107	10683
5	127	10496
6	144	10210
7	164	10145
8	185	10123
9	205	10083
10	226	10059
11	246	10028
12	266	9990
13	285	9907
14	305	9875
15	324	9823
16	345	9802
17	364	9765
18	385	9763
19	409	9826
20	433	9893
21	462	10040
22	480	9970
23	503	9977
24	527	10023
25	546	9960
26	565	9910
27	585	9867
28	606	9856
29	627	9832
30	645	9771
31	666	9740
32	686	9716
33	709	9719
34	728	9674
35	748	9645
36	767	9598
37	785	9547
38	803	9495
39	823	9466
40	842	9435
41	864	9421
42	886	9417
43	912	9455
44	934	9448
45	957	9450
46	979	9439
47	999	9410
48	1017	9369
49	1036	9329
50	1056	9297
51	1075	9265
52	1093	9224
53	1113	9196
54	1133	9174
55	1154	9151
56	1174	9127
57	1194	9105
58	1212	9061
59	1230	9026
60	1248	8988
61	1267	8956
62	1286	8923
63	1306	8899
64	1324	8865
65	1347	8863
66	1371	8865
67	1396	8873
68	1420	8872
69	1440	8850
70	1459	8815
71	1477	8784
72	1495	8749
73	1514	8718
74	1533	8690
75	1553	8665
76	1572	8638
77	1590	8605
78	1608	8572
79	1628	8547
80	1648	8527
81	1667	8501
82	1686	8471
83	1704	8440
84	1723	8414
85	1740	8380
86	1760	8355
87	1780	8336
88	1800	8316
89	1822	8301
90	1849	8312
91	1870	8293
92	1890	8272
93	1907	8239
94	1926	8213
95	1944	8184
96	1965	8165
97	1985	8144
98	2005	8121
99	2023	8095
100	2042	8070
101	2061	8044
102	2079	8014
103	2097	7986
104	2116	7961
105	2134	7933
106	2154	7915
107	2172	7885
108	2190	7859
109	2209	7834
110	2228	7809
111	2246	7784
112	2265	7757
113	2288	7750
114	2310	7735
115	2335	7731
116	2357	7718
117	2378	7699
118	2396	7674
119	2414	7647
120	2432	7619
121	2451	7595
122	2468	7567
123	2487	7542
124	2506	7519
125	2525	7496
126	2543	7470
127	2561	7444
128	2580	7421
129	2598	7395
130	2619	7378
131	2638	7356
132	2658	7334
133	2676	7310
134	2695	7287
135	2713	7262
136	2733	7241
137	2751	7218
138	2773	7202
139	2797	7192
140	2821	7184
141	2841	7164
142	2860	7141
143	2879	7118
144	2899	7099
145	2918	7077
146	2943	7067
147	2964	7050
148	2983	7027
149	3002	7005
150	3021	6983
151	3040	6960
152	3058	6935
153	3075	6908
154	3092	6884
155	3112	6863
156	3130	6838
157	3149	6816
158	3169	6797
159	3187	6774
160	3206	6750
161	3233	6746
162	3252	6724
163	3269	6699
164	3290	6680
165	3312	6665
166	3337	6655
167	3360	6641
168	3382	6625
169	3403	6605
170	3421	6582
171	3441	6563
172	3461	6543
173	3481	6522
174	3500	6501
175	3521	6482
176	3538	6457
177	3557	6436
178	3576	6413
179	3595	6392
180	3615	6372
181	3633	6348
182	3653	6329
183	3673	6308
184	3692	6287
185	3710	6264
186	3728	6241
187	3750	6223
188	3772	6207
189	3794	6191
190	3821	6181
191	3846	6169
192	3869	6155
193	3888	6133
194	3910	6115
195	3931	6097
196	3951	6078
197	3974	6061
198	3993	6040
199	4013	6020
200	4032	5998
201	4051	5977
202	4069	5954
203	4088	5932
204	4105	5907
205	4125	5888
206	4146	5868
207	4163	5845
208	4184	5826
209	4204	5806
210	4223	5785
211	4244	5766
212	4265	5746
213	4288	5731
214	4315	5720
215	4336	5701
216	4356	5681
217	4374	5658
218	4397	5642
219	4420	5625
220	4438	5603
221	4458	5583
222	4478	5563
223	4498	5542
224	4517	5521
225	4536	5500
226	4556	5479
227	4576	5459
228	4596	5439
229	4615	5418
230	4634	5396
231	4653	5375
232	4673	5355
233	4691	5333
234	4710	5311
235	4729	5290
236	4751	5272
237	4777	5258
238	4803	5245
239	4824	5226
240	4842	5204
241	4861	5183
242	4882	5163
243	4899	5140
244	4919	5120
245	4937	5097
246	4958	5078
247	4976	5056
248	4996	5036
249	5014	5014
250	5032	4992
251	5050	4970
252	5069	4949
253	5087	4927
254	5106	4906
255	5133	4892
256	5155	4874
257	5175	4854
258	5194	4833
259	5214	4813
260	5236	4795
261	5260	4778
262	5280	4758
263	5300	4738
264	5317	4715
265	5336	4694
266	5355	4673
267	5373	4651
268	5392	4630
269	5410	4609
270	5429	4587
271	5447	4566
272	5466	4545
273	5484	4523
274	5503	4502
275	5522	4482
276	5541	4461
277	5560	4440
278	5580	4420
279	5600	4400
280	5620	4380
281	5640	4360
282	5658	4339
283	5683	4322
284	5705	4303
285	5733	4290
286	5757	4272
287	5778	4253
288	5798	4233
289	5816	4211
290	5834	4190
291	5853	4169
292	5872	4149
293	5892	4129
294	5913	4109
295	5932	4088
296	5951	4068
297	5970	4047
298	5990	4026
299	6009	4006
300	6027	3985
301	6046	3963
302	6065	3943
303	6084	3922
304	6102	3901
305	6121	3880
306	6141	3861
307	6167	3844
308	6193	3828
309	6219	3812
310	6242	3793
311	6261	3773
312	6282	3753
313	6301	3732
314	6321	3712
315	6342	3692
316	6360	3671
317	6381	3652
318	6400	3631
319	6419	3610
320	6438	3590
321	6458	3570
322	6477	3549
323	6496	3529
324	6514	3508
325	6533	3487
326	6553	3466
327	6573	3446
328	6593	3426
329	6611	3405
330	6633	3386
331	6653	3366
332	6676	3348
333	6706	3333
334	6725	3312
335	6745	3292
336	6762	3270
337	6781	3250
338	6804	3231
339	6825	3211
340	6843	3190
341	6863	3170
342	6882	3150
343	6901	3129
344	6920	3109
